key	EN	DE
ui_p26_804	GoalBus Ops logo	GoalBus Ops Logo
ui_p26_810	Driver Assignment Scenarios	
ui_p26_811	Not assigned	Nicht zugewiesen
ui_p26_812	Programming	Programmierung
ui_p26_813	Collapse menu	Menü einklappen
ui_p26_815	Non-driving tasks	Nicht-fahrerische Aufgaben
ui_p26_816	General View of Services	Allgemeine Dienstansicht
ui_p26_817	driver	Fahrer
ui_p26_818	1405_12	
ui_p26_819	1405_19	
ui_p26_820	1405_22	
ui_p26_821	1405_44	
ui_p26_822	1405_6	
ui_p26_823	1405_7	
ui_p26_824	1407_19	
ui_p26_825	1407_22	
ui_p26_826	1407_42	
ui_p26_827	1407_52	
ui_p26_828	1407_54	
ui_p26_829	1409_10	
ui_p26_830	1409_13	
ui_p26_831	1409_18	
ui_p26_832	1409_19	
ui_p26_833	1409_2	
ui_p26_834	1409_20	
ui_p26_835	1409_22	
ui_p26_836	1409_27	
ui_p26_837	1409_29	
ui_p26_838	1409_32	
ui_p26_839	1409_35	
ui_p26_840	1409_39	
ui_p26_841	1409_41	
ui_p26_842	1409_43	
ui_p26_843	1409_46	
ui_p26_844	1409_47	
ui_p26_845	1409_48	
ui_p26_846	1409_53	
ui_p26_847	1409_61	
ui_p26_848	1409_66	
ui_p26_849	1409_67	
ui_p26_850	1409_70	
ui_p26_851	1409_73	
ui_p26_852	1409_75	
ui_p26_853	1409_78	
ui_p26_854	1409_81	
ui_p26_855	1409_82	
ui_p26_856	1409_89	
ui_p26_857	March 23 to March 29, 2026	23. März bis 29. März 2026
ui_p26_858	At orders	Auf Abruf
ui_p26_859	Free day	Freier Tag
ui_p26_860	Errors (2)	Fehler (2)
ui_p26_861	event_busy	
ui_p26_862	hourglass_bottom	
ui_p26_863	link	
ui_p26_864	otto:kpi_unassigned_task	
ui_p26_865	Delete KPI	KPI löschen
ui_p27_869	1 - 20 of 222	1 - 20 von 222
ui_p27_873	Results: 222	Ergebnisse: 222
ui_p2_874	events	
ui_p2_875	Training / Hello	
ui_p5_876	Edit Properties...	Eigenschaften bearbeiten...
ui_fix_883	Start date	Startdatum
ui_fix_884	End date	Enddatum
ui_fix_885	PARKING 1	PARKPLATZ 1
ui_fix_889	business unit	Geschäftseinheit
ui_fix_890	Refresh counters	Zähler aktualisieren
ui_fix_891	Calculation settings	Berechnungseinstellungen
ui_p2_892	01 May 2026	01. Mai 2026
ui_fix_897	If you need the complete guide to this upload or an example, do not hesitate to request them.	Wenn Sie die vollständige Anleitung für diesen Upload oder ein Beispiel benötigen, zögern Sie nicht, diese anzufordern.
ui_fix_898	Publish Settings	Veröffentlichungseinstellungen
ui_fix_899	Set different settings for solution publications.	Legen Sie verschiedene Einstellungen für Lösungspublikationen fest.
ui_fix_904	Weekly Hours	Wöchentliche Stunden
ui_fix_905	Monthly Hours	Monatliche Stunden
ui_fix_906	Monthly Hour Balance	Monatliches Zeitguthaben
ui_fix_909	Sundays Off	Sonntage frei
ui_text_913	Updated @	Aktualisiert am
ui_text_914	If you need to add additional properties, you can include extra rows by identifying the employee with their external_code and filling in the property_name, property_value, property_start_date and property_end_date fields.	Wenn Sie zusätzliche Eigenschaften hinzufügen müssen, können Sie zusätzliche Zeilen einfügen, indem Sie den Mitarbeiter mit seinem externen_Code identifizieren und die Felder Eigenschaftsname, Eigenschaftswert, Eigenschaftsstartdatum und Eigenschaftsenddatum ausfüllen.
ui_p6_915	EXT_40042	
ui_p14_918	Empty Trips - January 2026	Leerfahrten - Januar 2026
ui_p14_919	Vehicles - L1 Weekday	Fahrzeuge - L1 Arbeitstag
ui_p25_920	20 Apr 2026 - 26 Apr 2026	20. Apr. 2026 - 26. Apr. 2026
ui_p9_921	L1 Weekday Base	L1 Arbeitstagsbasis
ui_p9_922	2 Selected	2 ausgewählt
ui_p12_926	Formation Distances	Bereitstellungsentfernungen
ui_p12_928	Inactivity and stop times	Inaktivitäts- und Haltezeiten
ui_p12_929	Number of Vehicles by Type	Anzahl der Fahrzeuge pro Typ
ui_p12_930	Parkings - Start and End	Parkplätze - Start und Ende
ui_p12_931	Passing through Parkings	Durchfahrt durch Parkplätze
ui_p12_932	General penalty	Allgemeine Strafe
ui_p12_933	Penalty per trip	Strafe pro Fahrt
ui_p12_934	Penalty for empty trip	Strafe für Leerfahrt
ui_p12_935	Penalty per hour of inactivity	Strafe pro Stunde Inaktivität
ui_p12_936	Penalty per hour of inactive vehicle at depot	Strafe pro Stunde inaktives Fahrzeug im Depot
ui_p12_937	Penalty per hour of inactive vehicle at stop	Strafe pro Stunde inaktives Fahrzeug an der Haltestelle
ui_p12_940	May stop at non-origin depots	Darf in Nicht-Ursprungsdepots halten
ui_p12_941	Formation Rule	Bereitstellungsregel
ui_p12_942	Electric Vehicles Rule	Regel für Elektrofahrzeuge
ui_p12_943	They may only operate on lines associated with their origin depot	Sie dürfen nur auf Linien verkehren, die mit ihrem Ursprungsdepot verknüpft sind
ui_p12_944	Stop time	Haltezeit
ui_p12_945	Minimum stop time at depot	Mindesthaltzeit im Depot
ui_p12_946	Vehicle type(s) it applies to	Fahrzeugtyp(en), auf den/die es zutrifft
ui_p12_947	All vehicle types	Alle Fahrzeugtypen
ui_p12_951	Last updated: 04/17/2026	Zuletzt aktualisiert: 17.04.2026
ui_p10_952	Add trips	Fahrten hinzufügen
ui_p10_953	Standard workday - L1	Standard-Arbeitstag - L1
ui_p10_955	Interval (min.)	Intervall (Min.)
ui_p10_956	New Trip	Neue Fahrt
ui_p10_959	1 - 5 of 5	1 - 5 von 5
ui_p10_960	10L_A0654	
ui_p10_961	12L_A0651	
ui_p10_962	2L_A0653	
ui_p10_963	BILBAO-BALMASEDA	BILBAO-BALMASEDA
ui_p10_964	Import Services	Dienste importieren
ui_p10_965	deployed_code_update	
ui_p23_966	Manage document types for driver qualifications and catalog consistency.	Verwalten Sie Dokumenttypen für Fahrerqualifikationen und Katalogkonsistenz.
ui_p23_967	Document-Based Qualifications	Dokumentenbasierte Qualifikationen
ui_p23_968	Document Types	Dokumenttypen
ui_p23_975	Maximum limit	Maximale Grenze
ui_p23_976	ON_CALL	
ui_p23_977	Assignable work	Zuweisbare Arbeit
ui_p23_978	ismael test 01	
ui_p23_979	it01	
ui_p23_980	Add the maximum number of days for this absence type (optional)	Fügen Sie die maximale Anzahl an Tagen für diesen Abwesenheitstyp hinzu (optional)
ui_p23_981	Absence category	Abwesenheitskategorie
ui_p23_988	Requestable by the driver	Vom Fahrer anforderbar
ui_p23_989	Upload Driver Absences	Fahrerabwesenheiten hochladen
ui_p23_990	Short code for the absence type, as defined in Absence Settings.	Kurzcode für den Abwesenheitstyp, wie in den Abwesenheitseinstellungen definiert.
ui_p23_993	Absence end date (format: dd/mm/yyyy).	Enddatum der Abwesenheit (Format: TT.MM.JJJJ).
ui_p23_994	Absence start date (format: dd/mm/yyyy)	Startdatum der Abwesenheit (Format: TT.MM.JJJJ)
ui_p23_997	absence_type_short_name	absence_type_short_name
ui_p23_998	driver_code	driver_code
ui_p23_999	end_date	end_date
ui_p23_1000	end_time	end_time
ui_p23_1001	start_date	start_date
ui_p23_1002	start_time	start_time
ui_p10_1003	Business Day	Arbeitstag
ui_p10_1004	Line 1	Linie 1
ui_p12_1005	Global Limits and Solution Preferences	Globale Grenzwerte und Lösungspräferenzen
ui_p14_1006	Empty - January 2026	Leer - Januar 2026
ui_p14_1007	Vehicles - L1 Workday	Fahrzeuge - L1 Arbeitstag
ui_p15_1008	157 hoursours	157 Stunden
ui_p15_1009	Executing processeses	Prozesse werden ausgeführt
ui_p15_1010	Line Transcal E698 Onibus + Motorists	Linie Transcal E698 Busse + Fahrer
ui_p15_1011	Transcal Test 2026-04-08	Transcal Test 08.04.2026
ui_p15_1012	Transcal Test Days Useful	Transcal Test Arbeitstage
ui_p15_1013	285 hoursours	285 Stunden
ui_p15_1014	329 hoursours	329 Stunden
ui_p20_1015	Drag and drop your file here or browse	Datei hierher ziehen oder durchsuchen
ui_p23_1016	Arrastre y suelte su archivo aquí o buscalo	Datei hierher ziehen oder durchsuchen
ui_p25_1017	Apr 20, 2026 - Apr 26, 2026	20. Apr. 2026 - 26. Apr. 2026
ui_p26_1018	Atribuição de Vehicles	Fahrzeugzuweisung
ui_p3_1019	Dec 13, 2026	13. Dez. 2026
ui_p3_1020	Dec 15, 2025	15. Dez. 2025
ui_p9_1021	L1 Base Workday	L1 Arbeitstagsbasis
